分数,地区,标签
28.70321097,100,
82.39500186,100,
132.2874105,100,
82.39500186,100,
31.54362609,100,
19.21533693,100,
186.1781951,100,
201.4648662,0,
27.25110208,100,
69.09428224,100,
169.5945943,100,
13.82242428,100,
219.9169764,100,
36.96612081,100,
37.37636992,100,
250.1611179,100,
37.37636992,100,
114.5710243,100,
53.19455283,0,
52.24974886,0,
29.63568345,0,
209.5199882,100,
500.4004718,100,
97.62511084,100,
67.03860967,100,
67.19173135,100,
128.8596507,100,
93.53258224,0,
112.3422844,0,
78.48238,0,
58.21031969,0,
129.3822484,100,
109.1453084,100,
226.3324211,0,
234.5245478,100,
108.8929823,100,
21.77690772,0,
133.6745086,0,
38.28474935,100,
133.6745086,0,
57.19480927,0,
28.61298096,0,
107.7065344,100,
256.630647,100,
159.8696318,100,
145.3090849,100,
325.9189602,100,
86.15015432,100,
271.505993,0,
52.02439314,0,
21.47114242,100,
74.21300221,100,
44.13790712,100,
295.7394273,100,
98.07673337,0,
330.0830982,100,
114.3481095,100,
685.4257842,100,
55.91678433,100,
254.0432544,100,
467.8008404,100,
