日期,标题,分数
0129am,丹麦媒体借肺炎疫情刊载辱华漫画 中国使馆怒批.txt,43.05863273
0129am,打赢疫情防控阻击战 习近平给出四个关键词.txt,289.0903383
0129am,如何看待武汉人在外地受到歧视抵制?武汉书记回应.txt,23.9035825
0129pm,习近平对军队做好疫情防控工作作出重要指示.txt,65.95831088
0129pm,丹麦媒体借肺炎疫情刊载辱华漫画 中国使馆怒批.txt,43.05863273
0129pm,打赢疫情防控阻击战 习近平给出四个关键词.txt,289.0903383
0129pm,工程院院士张伯礼：我们期盼的疫情拐点或将出现.txt,17.63050445
0129pm,防疫不力 他是目前被处分级别最高官员.txt,154.7066784
0130am,习近平对军队做好疫情防控工作作出重要指示.txt,65.95831088
0130am,对话疾控专家曾光：会不会出现第二波疫情爆发？.txt,11.16553212
0130am,工程院院士张伯礼：我们期盼的疫情拐点或将出现.txt,17.63050445
0130am,防疫不力 他是目前被处分级别最高官员.txt,154.7066784
0130pm,督导组询问疫情 湖北黄冈卫健委主任含糊其辞.txt,7.149857276
0130pm,习近平对军队做好疫情防控工作作出重要指示.txt,65.95831088
0130pm,又一最新研究表明 新型冠状病毒可能起源于蝙蝠.txt,176.8147446
0130pm,工程院院士张伯礼：我们期盼的疫情拐点或将出现.txt,17.63050445
0130pm,防疫不力 他是目前被处分级别最高官员.txt,154.7066784
0131am,督导组询问疫情 湖北黄冈卫健委主任含糊其辞.txt,7.149857276
0131am,世卫组织将新冠病毒肺炎疫情列为国际关注的突发公共卫生事件.txt,160.8752188
0131am,又一最新研究表明 新型冠状病毒可能起源于蝙蝠.txt,176.8147446
0131pm,督导组询问疫情 湖北黄冈卫健委主任含糊其辞.txt,7.149857276
0131pm,又一最新研究表明 新型冠状病毒可能起源于蝙蝠.txt,176.8147446
0131pm,全民战“疫” 携手共铸坚强后盾.txt,332.8405907
0131pm,8城确诊病例超200有7座在湖北 还有一座是它.txt,98.74488131
0201am,武汉市委书记：我现在是一种内疚愧疚自责的心态.txt,20.44694773
0201am,全民战“疫” 携手共铸坚强后盾.txt,332.8405907
0201am,8城确诊病例超200有7座在湖北 还有一座是它.txt,98.74488131
0201pm,湖北与武汉红会 物资捐赠卡在了这里？.txt,557.456827
0201pm,对红十字会存在的问题 武汉官方作出一项决定.txt,153.9703405
0201pm,发布疫情被训诫的武汉医生李文亮确诊新冠肺炎.txt,-4.745378357
0201pm,全民战“疫” 携手共铸坚强后盾.txt,332.8405907
0201pm,8城确诊病例超200有7座在湖北 还有一座是它.txt,98.74488131
0202am,湖北与武汉红会 物资捐赠卡在了这里？.txt,557.456827
0202am,对红十字会存在的问题 武汉官方作出一项决定.txt,153.9703405
0202am,发布疫情被训诫的武汉医生李文亮确诊新冠肺炎.txt,-4.745378357
0202am,湖北黄冈处理处分党员干部337人 3名是正县级干部.txt,21.7409274
0202pm,湖北与武汉红会 物资捐赠卡在了这里？.txt,557.456827
0202pm,对红十字会存在的问题 武汉官方作出一项决定.txt,153.9703405
0202pm,发布疫情被训诫的武汉医生李文亮确诊新冠肺炎.txt,-4.745378357
0202pm,为了人民 打赢这场战“疫”！.txt,194.1175491
0202pm,粪口会传播新型冠状病毒吗？钟南山回应了.txt,25.1929502
